iter	Passed	Remaining
0	46	46039
1	46	23193
2	46	15574
3	47	11760
4	47	9476
5	48	7955
6	48	6868
7	48	6051
8	49	5416
9	49	4909
10	49	4494
11	50	4148
12	50	3853
13	51	3599
14	51	3382
15	51	3189
16	52	3022
17	52	2872
18	53	2738
19	53	2617
20	53	2507
21	54	2407
22	54	2315
23	54	2232
24	55	2155
25	55	2083
26	56	2018
27	56	1957
28	56	1899
29	57	1849
30	57	1799
31	57	1753
32	58	1708
33	58	1667
34	59	1627
35	59	1590
36	59	1555
37	60	1521
38	60	1490
39	60	1459
40	61	1430
41	61	1402
42	61	1376
43	62	1350
44	62	1325
45	62	1303
46	63	1281
47	63	1260
48	63	1240
49	64	1221
50	64	1201
51	64	1183
52	65	1167
53	65	1150
54	65	1133
55	66	1118
56	66	1103
57	67	1089
58	67	1074
59	67	1061
60	68	1048
61	68	1035
62	68	1022
63	69	1011
64	69	999
65	69	988
66	70	977
67	70	964
68	70	953
69	71	943
70	71	933
71	71	924
72	72	914
73	72	905
74	72	896
75	72	887
76	73	879
77	73	871
78	74	863
79	74	855
80	74	848
81	75	841
82	75	834
83	75	826
84	76	818
85	76	811
86	76	803
87	76	796
88	77	790
89	77	784
90	77	777
91	78	772
92	78	766
93	78	760
94	79	755
95	79	749
96	79	744
97	80	739
98	80	734
99	81	729
100	81	724
101	81	717
102	81	713
103	82	708
104	82	703
105	82	699
106	83	695
107	83	690
108	83	686
109	84	681
110	84	677
111	84	673
112	85	669
113	85	665
114	85	661
115	86	657
116	86	653
117	86	649
118	87	645
119	87	641
120	87	638
121	88	634
122	88	630
123	88	626
124	89	623
125	89	620
126	89	617
127	90	613
128	90	609
129	90	606
130	91	603
131	91	600
132	91	597
133	92	594
134	92	591
135	92	589
136	93	586
137	93	583
138	93	580
139	94	577
140	94	575
141	94	572
142	95	569
143	95	566
144	95	563
145	95	561
146	96	558
147	96	556
148	96	553
149	97	551
150	97	548
151	97	546
152	98	543
153	98	541
154	98	538
155	99	536
156	99	534
157	99	532
158	100	529
159	100	527
160	100	525
161	101	523
162	101	520
163	101	518
164	102	516
165	102	514
166	102	512
167	103	510
168	103	508
169	103	506
170	103	504
171	104	502
172	104	500
173	104	498
174	105	496
175	105	494
176	105	492
177	106	490
178	106	489
179	106	487
180	107	484
181	107	482
182	107	480
183	108	479
184	108	477
185	108	475
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	463
193	111	461
194	111	460
195	111	458
196	112	456
197	112	455
198	112	453
199	112	451
200	113	450
201	113	448
202	113	447
203	114	445
204	114	443
205	114	442
206	115	440
207	115	439
208	115	437
209	115	436
210	116	434
211	116	433
212	116	431
213	117	430
214	117	429
215	117	427
216	118	426
217	118	425
218	118	423
219	119	422
220	119	420
221	119	419
222	119	418
223	120	416
224	120	415
225	120	413
226	121	412
227	121	411
228	121	409
229	122	408
230	122	407
231	122	406
232	123	405
233	123	403
234	123	402
235	123	401
236	124	399
237	124	398
238	124	397
239	125	396
240	125	394
241	125	393
242	125	392
243	126	391
244	126	390
245	126	388
246	127	387
247	127	386
248	127	385
249	128	384
250	128	383
251	128	381
252	128	380
253	129	379
254	129	378
255	129	377
256	130	376
257	130	375
258	130	374
259	131	373
260	131	372
261	131	370
262	131	369
263	132	368
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	134	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	137	352
280	137	351
281	137	350
282	138	349
283	138	349
284	138	348
285	139	347
286	139	346
287	139	345
288	140	344
289	140	343
290	140	342
291	141	342
292	141	341
293	141	340
294	142	339
295	142	338
296	142	337
297	142	336
298	143	335
299	143	334
300	143	333
301	144	333
302	144	332
303	144	331
304	145	330
305	145	329
306	145	328
307	145	327
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	148	321
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	312
327	151	311
328	152	310
329	152	309
330	152	308
331	153	308
332	153	307
333	153	306
334	154	305
335	154	305
336	154	304
337	155	303
338	155	302
339	155	302
340	155	301
341	156	300
342	156	299
343	156	299
344	157	298
345	157	297
346	157	296
347	158	296
348	158	295
349	158	294
350	158	293
351	159	293
352	159	292
353	159	291
354	160	291
355	160	290
356	160	289
357	161	288
358	161	288
359	161	287
360	162	286
361	162	286
362	162	285
363	163	284
364	163	284
365	163	283
366	163	282
367	164	282
368	164	281
369	164	280
370	165	280
371	165	279
372	165	278
373	166	278
374	166	277
375	166	276
376	167	276
377	167	275
378	167	274
379	167	274
380	168	273
381	168	272
382	168	271
383	169	271
384	169	270
385	169	270
386	170	269
387	170	268
388	170	268
389	170	267
390	171	266
391	171	266
392	171	265
393	172	264
394	172	264
395	172	263
396	173	262
397	173	262
398	173	261
399	173	260
400	174	260
401	174	259
402	174	259
403	175	258
404	175	257
405	175	257
406	176	256
407	176	256
408	176	255
409	177	254
410	177	254
411	177	253
412	177	252
413	178	252
414	179	252
415	179	251
416	179	251
417	179	250
418	180	249
419	180	249
420	180	248
421	181	248
422	181	247
423	181	246
424	182	246
425	182	245
426	182	245
427	182	244
428	183	243
429	183	243
430	183	242
431	184	242
432	184	241
433	184	240
434	185	240
435	185	239
436	185	239
437	186	238
438	186	238
439	186	237
440	186	237
441	187	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	189	233
448	189	232
449	189	232
450	190	231
451	190	231
452	190	230
453	191	230
454	191	229
455	191	228
456	192	228
457	192	227
458	192	227
459	193	226
460	193	226
461	193	225
462	194	225
463	194	224
464	194	224
465	195	223
466	195	223
467	195	222
468	196	222
469	196	221
470	196	220
471	197	220
472	197	219
473	197	219
474	197	218
475	198	218
476	198	217
477	198	217
478	199	216
479	199	216
480	199	215
481	200	215
482	200	214
483	200	214
484	201	213
485	201	213
486	201	212
487	202	211
488	202	211
489	202	211
490	203	210
491	203	210
492	203	209
493	204	208
494	204	208
495	204	207
496	205	207
497	205	206
498	205	206
499	206	206
500	206	205
501	206	205
502	206	204
503	207	204
